,book,rating,title
0,/book/show/10000269-prey,3.74,Prey
1,/book/show/10000647-the-opposite-of-dark,3.77,The Opposite Of Dark
2,/book/show/10024937-iron-house,4.09,Iron House
3,/book/show/10025305-clockwork-prince,4.45,Clockwork Prince
4,/book/show/10030355-christmas-in-killarney,3.84,Christmas In Killarney
5,/book/show/10031259-the-emperor-s-edge,4.03,The Emperor S Edge
6,/book/show/10032672-the-language-of-flowers,4.08,The Language Of Flowers
7,/book/show/10038738-noble-chaos,4.67,Noble Chaos
8,/book/show/10041211-the-hanging-shed,3.86,The Hanging Shed
9,/book/show/10042118-stealing-rembrandts,3.61,Stealing Rembrandts
10,/book/show/10048521-the-kiss-of-a-stranger,4.11,The Kiss Of A Stranger
11,/book/show/10050463-clockwork-prince,4.45,Clockwork Prince
12,/book/show/10051154,4.03,
13,/book/show/10052590-the-crystal-key,4.5,The Crystal Key
14,/book/show/10057167-fool-moon,4.03,Fool Moon
15,/book/show/10063939-the-way-of-kings,4.65,The Way Of Kings
16,/book/show/10073970-dog-sayings-wit-wisdom-from-man-s-best-friend,4.0,Dog Sayings Wit Wisdom From Man S Best Friend
17,/book/show/10079321-the-magician-king,3.92,The Magician King
18,/book/show/10079597-coal-gasification-and-its-applications,4.0,Coal Gasification And Its Applications
19,/book/show/10080974-david-copperfield,3.98,David Copperfield
20,/book/show/10082921-i-am-here-omnibus-vol-02,4.25,I Am Here Omnibus Vol 02
21,/book/show/10084223-snake-skin,3.81,Snake Skin
22,/book/show/10087707-from-the-big-house-to-your-house,4.75,From The Big House To Your House
23,/book/show/10087767-the-complete-stories-of-sherlock-holmes-volume-1,4.33,The Complete Stories Of Sherlock Holmes Volume 1
24,/book/show/10089874-divergent,4.21,Divergent
25,/book/show/10092689-mary-poppins,4.04,Mary Poppins
26,/book/show/10093711-valley-of-death-zombie-trailer-park,3.6,Valley Of Death Zombie Trailer Park
27,/book/show/10094969-silver-tongued-devil,4.04,Silver Tongued Devil
28,/book/show/10098359-the-day-aberystwyth-stood-still,3.99,The Day Aberystwyth Stood Still
29,/book/show/10098912-chanakya-s-chant,3.7,Chanakya S Chant
30,/book/show/10100397-living-in-the-now,4.06,Living In The Now
31,/book/show/10100824-peter,4.41,Peter
32,/book/show/10108463-the-devil-all-the-time,4.1,The Devil All The Time
33,/book/show/10116927-pure,3.58,Pure
34,/book/show/10118917-the-commander-and-the-den-asaan-rautu,4.02,The Commander And The Den Asaan Rautu
35,/book/show/10121083-violence-against-prisoners-of-war-in-the-first-world-war,4.33,Violence Against Prisoners Of War In The First World War
36,/book/show/10122213-the-evolutionary-void,4.27,The Evolutionary Void
37,/book/show/10123237-the-inventor-s-secret,3.64,The Inventor S Secret
38,/book/show/10127019-the-lean-startup,4.06,The Lean Startup
